task,input,output,possible_outputs
negation,Teachers might be responsible for student discipline.,Teachers might not be responsible for student discipline.,
negation,"If a teacher is only teaching one person, they are called a tutor.","If a teacher is only teaching one person, they are not called a tutor.",
negation,The youngest student a teacher might have are infants.,The youngest student a teacher might have are not infants.,
negation,Teachers likely follow standardized curricula.,Teachers likely do not follow standardized curricula.,
negation,A teacher needs to be enthusiastic with regards to their subject matter.,A teacher does not need to be enthusiastic with regards to their subject matter.,
negation,The general religious belief of nations that received Huguenot refugees is Protestant.,The general religious belief of nations that received Huguenot refugees is not Protestant.,
negation,The LDS Church focuses on spiritual mentorship.,The LDS Church does not focuse on spiritual mentorship.,
negation,"To impact German culture, Martin Luther translated the Bible.","To impact German culture, Martin Luther did not translate the Bible.",
negation,Lurther was declared to be an outlaw by Edict of Works presented by Emperor.,Lurther was declared to be an outlaw by Edict of Works not presented by Emperor.,
negation,California used to be ruled by Mexico.,California was never ruled by Mexico.,
negation,California Institute of Technology is a private university.,California Institute of Technology is not a private university.,
negation,BSkyB was having issues with Thomson.,BSkyB was not having issues with Thomson.,
negation,Gasoline and heating gas was rationed by Sweden.,Gasoline and heating gas was not rationed by Sweden.,
negation,Non-condensing direct-drive locomotives  for fast passenger trains were notably used in Britain.,Non-condensing direct-drive locomotives  for fast passenger trains were not used in Britain.,
negation,An early clue that philogiston theory was wrong was metals weight gain during rusting.,An early clue that philogiston theory was wrong was not metals weight gain during rusting.,
negation,The majority of the amazon forest is in Brazil.,The majority of the amazon forest is not in Brazil.,
negation,Scientists think all of the plagues originated from China.,Scientists think all of the plagues did not originate from China.,
negation,Walt Disney was approached about producing color broadcasts of his anthology series by NBC.,Walt Disney was not approached about producing color broadcasts of his anthology series by NBC.,
negation,The perception of Genghis Khan in Mongolia brightened in the 1990s.,The perception of Genghis Khan in Mongolia did not brighten in the 1990s.,
negation,The denomination associated with Saint Kentigern College is Presbyterian.,The denomination associated with Saint Kentigern College is not Presbyterian.,
negation,The usual form of the government's wealth redistribution is taxation.,The usual form of the government's wealth redistribution is not taxation.,
negation,The second largest contrubtor to Kenyas GDP is Agriculture.,The second largest contrubtor to Kenyas GDP is not Agriculture.,
negation,The first month when Parliament takes a two week vacation is April.,The first month when Parliament takes a two week vacation is not April.,
negation,"The month where, every four years, the ordinary general elections are held on is May.","The month where, every four years, the ordinary general elections are held on is not May.",
negation,Thomas Godfrey Faussett was born in Oxford.,Thomas Godfrey Faussett was not born in Oxford.,
negation,Taavi Vartia was born in Helsinki.,Taavi Vartia was not born in Helsinki.,
negation,Jonathan Wilkins was born in London.,Jonathan Wilkins was not born in London.,
negation,Tazewell Ellett was born in Richmond.,Tazewell Ellett was not born in Richmond.,
negation,Robert Moss was born in Melbourne.,Robert Moss was not born in Melbourne.,
negation,Parvaz Mirza was born in Birmingham.,Parvaz Mirza was not born in Birmingham.,
negation,Jim Chapin died in Florida.,Jim Chapin did not die in Florida.,
negation,William %22Rip%22 Robertson died in Laos.,William %22Rip%22 Robertson did not die in Laos.,
negation,William Cumin died in Bath.,William Cumin did not die in Bath.,
negation,Gotthard Deutsch died in Cincinnati.,Gotthard Deutsch did not die in Cincinnati.,
negation,Jorge Noceda Sanchez died in Miami.,Jorge Noceda Sanchez did not die in Miami.,
negation,John Joseph Cotman died in Norwich.,John Joseph Cotman did not die in Norwich.,
negation,Mira Ashby died in Toronto.,Mira Ashby did not die in Toronto.,
negation,Diego de Arroyo died in Madrid.,Diego de Arroyo did not die in Madrid.,
negation,Robert Cryan died in Dublin.,Robert Cryan did not die in Dublin.,
negation,John Bonser died in Portland.,John Bonser did not die in Portland.,
negation,Time is absolute.,Time is not absolute.,
negation,Some clubs are exclusive.,Some clubs are not exclusive.,
negation,Some plants are carniverous.,Some plants are not carniverous.,
negation,Monkeys are funny.,Monkeys are not funny.,
negation,Hydrgen is flammable.,Hydrgen is not flammable.,
negation,Celebrating requires food.,Celebrating does not require food.,
negation,Soccer is competitive.,Soccer is not competitive.,
negation,Vodka is generally colourless.,Vodka is not generally colourless.,
negation,Weddings can be boring.,Weddings cannot be boring.,
negation,Zork is a game.,Zork is not a game.,
negation,Some tea contains caffeine.,Some tea does not contain caffeine.,
negation,Businesses like to succeed.,Businesses do not like to succeed.,
negation,Love is contagious.,Love is not contagious.,
negation,Life is a journey.,Life is not a journey.,
negation,Exercising requires motivation.,Exercising does not require motivation.,
negation,Integrity is good.,Integrity is not good.,
negation,Beef can be marinated.,Beef cannot be marinated.,
negation,Pretending requires creativity.,Pretending does not require creativity.,
negation,Porcelain is white.,Porcelain is not white.,
negation,Rubies can be polished.,Rubies cannot be polished.,
negation,Investing is risky.,Investing is not risky.,
negation,Writing requires patience.,Writing does not require patience.,
negation,Janice was a pediatrician.,Janice was not a pediatrician.,
negation,We like to camp.,We do not like to camp.,
negation,Marmite is delicious.,Marmite is not delicious.,
negation,Chocolate is yummy.,Chocolate is not yummy.,
negation,Genova is part of Italy.,Genova is not part of Italy.,
negation,Music can be beautifull.,Music cannot be beautifull.,
negation,Romance is generally complicated.,Romance is not generally complicated.,
negation,The official language of Bhopal is Hindi.,The official language of Bhopal is not Hindi.,
negation,Jarama is a river.,Jarama is not a river.,
negation,Sonic X was created in Japan.,Sonic X was not created in Japan.,
negation,Kosovo maintains diplomatic relations with Italy.,Kosovo does not maintain diplomatic relations with Italy.,
negation,Portugal maintains diplomatic relations with Germany.,Portugal does not maintain diplomatic relations with Germany.,
negation,Mexico maintains diplomatic relations with Italy.,Mexico does not maintain diplomatic relations with Italy.,
negation,Dacia Duster is produced by Renault.,Dacia Duster is not produced by Renault.,
negation,The capital of Bohemia is Prague.,The capital of Bohemia is not Prague.,
negation,Wiener Schnitzel was created in Austria.,Wiener Schnitzel was not created in Austria.,
negation,Great Performances was originally aired on PBS.,Great Performances was not originally aired on PBS.,
negation,Vevo is owned by Google.,Vevo is not owned by Google.,
negation,Dennis Rowland plays jazz music.,Dennis Rowland does not play jazz music.,
negation,The Two Babylons was created in Scotland.,The Two Babylons was not created in Scotland.,
negation,The original language of Sadratnamala is Sanskrit.,The original language of Sadratnamala is not Sanskrit.,
negation,Hempstead Washburne died in Chicago.,Hempstead Washburne did not die in Chicago.,
negation,The official language of Posio is Finnish.,The official language of Posio is not Finnish.,
negation,Kerch Strait is located in Russia.,Kerch Strait is not located in Russia.,
taxonomy_animal,"kangaroo, beetle, bike, bird, bear, noodles, bicycle","beetle, bear, kangaroo, bird",
taxonomy_animal,"cow, dog, bird, boat, singer, bike","dog, cow, bird",
taxonomy_animal,"dog, kangaroo, noodles, bicycle, eagle","kangaroo, eagle, dog",
taxonomy_animal,"eagle, bird, cow, silver, boots, pilot","cow, eagle, bird",
taxonomy_animal,"black, bicycle, eagle, bird, boat, cow","bird, cow, eagle",
taxonomy_animal,"bird, bicycle, cow, jam, pie, kangaroo","kangaroo, cow, bird",
taxonomy_animal,"bear, boots, boat, dog, crocodile, noodles","crocodile, dog, bear",
taxonomy_animal,"eagle, bike, bear, silver, beetle, bird, black","bear, beetle, bird, eagle",
taxonomy_animal,"bird, cake, kangaroo, dog, bicycle, bear, boat","bird, bear, dog, kangaroo",
taxonomy_animal,"black, dog, singer, bear, beetle, cow","cow, beetle, bear, dog",
taxonomy_animal,"cheese, dog, singer, bear, pilot, crocodile","crocodile, bear, dog",
taxonomy_animal,"bicycle, bird, beetle, shorts, kangaroo, bear","beetle, bear, bird, kangaroo",
taxonomy_animal,"black, crocodile, dog, cow, shorts","crocodile, dog, cow",
taxonomy_animal,"bear, boat, kangaroo, dog, black, bike, cow","cow, dog, bear, kangaroo",
taxonomy_animal,"bicycle, dog, beetle, eagle, cow, pilot","eagle, beetle, dog, cow",
taxonomy_animal,"cow, dog, jam, bear, silver, bird","dog, bird, bear, cow",
taxonomy_animal,"bird, bicycle, eagle, astronaut, crocodile","eagle, bird, crocodile",
taxonomy_animal,"eagle, cheese, crocodile, cow, pilot","eagle, crocodile, cow",
taxonomy_animal,"eagle, dog, bear, silver, black, cake","dog, eagle, bear",
taxonomy_animal,"bear, pilot, silver, cow, crocodile, dog, bicycle","bear, cow, dog, crocodile",
taxonomy_animal,"astronaut, bike, black, eagle, kangaroo, cow, beetle","beetle, kangaroo, eagle, cow",
taxonomy_animal,"crocodile, pie, dog, silver, beetle","crocodile, dog, beetle",
taxonomy_animal,"beetle, bird, singer, bear, cow, astronaut, pilot","beetle, bear, cow, bird",
taxonomy_animal,"kangaroo, black, crocodile, silver, eagle, pizza, bear","eagle, bear, kangaroo, crocodile",
taxonomy_animal,"eagle, bird, dog, singer, boat","dog, bird, eagle",
taxonomy_animal,"grape, pie, dog, singer, eagle, cow, beetle","eagle, beetle, cow, dog",
taxonomy_animal,"kangaroo, bicycle, boots, crocodile, singer, eagle","kangaroo, eagle, crocodile",
taxonomy_animal,"bird, cereal, eagle, crocodile, bicycle","bird, crocodile, eagle",
taxonomy_animal,"bear, coat, silver, shorts, dog, bird, eagle","eagle, bird, bear, dog",
taxonomy_animal,"eagle, coat, dog, silver, crocodile, bear, boots","bear, eagle, crocodile, dog",
taxonomy_animal,"kangaroo, bird, dog, beetle, black, silver","dog, kangaroo, bird, beetle",
taxonomy_animal,"cow, beetle, grape, black, bird, crocodile","cow, beetle, crocodile, bird",
taxonomy_animal,"dog, bike, bicycle, bear, beetle","dog, beetle, bear",
taxonomy_animal,"beetle, silver, cow, dog, singer, boots, bear","dog, beetle, cow, bear",
taxonomy_animal,"beetle, coat, bird, eagle, cow, black, boots","bird, beetle, eagle, cow",
taxonomy_animal,"cheese, eagle, dog, crocodile, bike, pilot","crocodile, eagle, dog",
taxonomy_animal,"singer, cow, crocodile, coat, kangaroo, dog","kangaroo, cow, crocodile, dog",
taxonomy_animal,"beetle, kangaroo, bike, eagle, crocodile, silver, bicycle","crocodile, eagle, kangaroo, beetle",
taxonomy_animal,"bicycle, pilot, eagle, dog, beetle, boots, cow","eagle, dog, cow, beetle",
taxonomy_animal,"kangaroo, dog, eagle, shorts, noodles, bird","dog, bird, kangaroo, eagle",
taxonomy_animal,"silver, bear, beetle, crocodile, dog, pie, astronaut","crocodile, bear, dog, beetle",
taxonomy_animal,"crocodile, singer, bike, bird, pie, kangaroo, eagle","kangaroo, bird, crocodile, eagle",
taxonomy_animal,"shorts, dog, bear, jam, eagle","bear, dog, eagle",
taxonomy_animal,"bear, black, noodles, kangaroo, dog","kangaroo, bear, dog",
taxonomy_animal,"crocodile, kangaroo, silver, bear, singer, pilot","crocodile, bear, kangaroo",
taxonomy_animal,"kangaroo, silver, bird, bear, beetle, black","bear, beetle, bird, kangaroo",
taxonomy_animal,"beetle, bird, bear, boat, noodles, eagle","beetle, eagle, bird, bear",
taxonomy_animal,"astronaut, grape, kangaroo, bird, bear, cow, boots","bear, bird, cow, kangaroo",
taxonomy_animal,"coat, cheese, eagle, astronaut, cow, kangaroo, bear","kangaroo, eagle, bear, cow",
taxonomy_animal,"bird, kangaroo, cow, pilot, boots, noodles","kangaroo, cow, bird",
taxonomy_animal,"kangaroo, pizza, beetle, eagle, grape, crocodile","kangaroo, crocodile, beetle, eagle",
taxonomy_animal,"dog, bear, eagle, noodles, boots, black","dog, bear, eagle",
taxonomy_animal,"astronaut, cow, dog, black, eagle","dog, eagle, cow",
taxonomy_animal,"bear, black, coat, cow, kangaroo","cow, kangaroo, bear",
taxonomy_animal,"bear, bird, cow, boots, black","cow, bird, bear",
taxonomy_animal,"eagle, bird, noodles, bicycle, dog, crocodile, coat","bird, crocodile, dog, eagle",
taxonomy_animal,"bike, beetle, eagle, kangaroo, cereal","beetle, eagle, kangaroo",
taxonomy_animal,"cow, bear, bird, bike, kangaroo, boots","bear, bird, kangaroo, cow",
taxonomy_animal,"bird, kangaroo, dog, bike, shorts, pie, cow","cow, bird, kangaroo, dog",
taxonomy_animal,"bicycle, cow, kangaroo, singer, bird, beetle, boat","bird, beetle, cow, kangaroo",
taxonomy_animal,"silver, bird, black, crocodile, cow, astronaut, beetle","bird, beetle, crocodile, cow",
taxonomy_animal,"eagle, beetle, kangaroo, cheese, coconut, boat","kangaroo, eagle, beetle",
taxonomy_animal,"eagle, kangaroo, silver, bicycle, singer, crocodile","crocodile, eagle, kangaroo",
taxonomy_animal,"eagle, dog, shorts, crocodile, grape, kangaroo","eagle, dog, crocodile, kangaroo",
taxonomy_animal,"black, bear, crocodile, kangaroo, silver, astronaut, bird","bear, bird, crocodile, kangaroo",
taxonomy_animal,"grape, bird, dog, shorts, crocodile, silver","bird, dog, crocodile",
taxonomy_animal,"bear, kangaroo, cheese, crocodile, black, cow","cow, crocodile, bear, kangaroo",
taxonomy_animal,"coat, bird, eagle, cheese, astronaut, beetle","beetle, eagle, bird",
taxonomy_animal,"crocodile, noodles, singer, bear, kangaroo, boots, dog","bear, kangaroo, dog, crocodile",
taxonomy_animal,"crocodile, bike, bear, bird, singer, silver","crocodile, bird, bear",
taxonomy_animal,"eagle, crocodile, beetle, bird, black, shorts","eagle, bird, crocodile, beetle",
taxonomy_animal,"eagle, silver, pilot, astronaut, crocodile, dog","eagle, dog, crocodile",
taxonomy_animal,"silver, bird, grape, beetle, bear, black, crocodile","beetle, crocodile, bear, bird",
taxonomy_animal,"astronaut, dog, beetle, eagle, singer","beetle, eagle, dog",
taxonomy_animal,"bird, silver, beetle, cow, jam","beetle, cow, bird",
taxonomy_animal,"cereal, beetle, bird, eagle, crocodile, coat","bird, crocodile, beetle, eagle",
taxonomy_animal,"dog, cow, beetle, bird, pilot, boat","bird, beetle, dog, cow",
taxonomy_animal,"boots, crocodile, bear, pilot, beetle","crocodile, bear, beetle",
taxonomy_animal,"dog, silver, kangaroo, pie, bike, eagle","dog, eagle, kangaroo",
taxonomy_animal,"beetle, pilot, crocodile, cow, boots, boat, bird","crocodile, bird, beetle, cow",
taxonomy_animal,"bicycle, singer, bird, astronaut, kangaroo, eagle, beetle","eagle, beetle, bird, kangaroo",
taxonomy_animal,"crocodile, bear, cereal, coconut, kangaroo","bear, kangaroo, crocodile",
taxonomy_animal,"dog, beetle, silver, coat, boat, bear, eagle","dog, beetle, bear, eagle",
taxonomy_animal,"bear, dog, pie, cereal, beetle, black, cow","bear, cow, beetle, dog",
taxonomy_animal,"crocodile, cow, black, dog, pizza, silver","crocodile, cow, dog",
taxonomy_animal,"silver, bear, singer, grape, dog, bird","bird, bear, dog",
taxonomy_animal,"eagle, coat, cow, kangaroo, boat, bear, silver","bear, eagle, kangaroo, cow",
taxonomy_animal,"bird, kangaroo, black, crocodile, silver, beetle","crocodile, beetle, bird, kangaroo",
taxonomy_animal,"crocodile, dog, coat, cow, bird, black","dog, crocodile, cow, bird",
taxonomy_animal,"jam, cow, boat, bear, crocodile, beetle, silver","bear, crocodile, beetle, cow",
taxonomy_animal,"black, cow, astronaut, bear, boat, beetle, crocodile","beetle, crocodile, cow, bear",
taxonomy_animal,"crocodile, astronaut, cheese, kangaroo, eagle, bird","bird, kangaroo, crocodile, eagle",
taxonomy_animal,"bird, bike, astronaut, bicycle, cow, dog","bird, dog, cow",
taxonomy_animal,"crocodile, silver, coat, beetle, eagle, boots, bird","beetle, crocodile, bird, eagle",
taxonomy_animal,"astronaut, jam, bird, crocodile, silver, kangaroo, beetle","kangaroo, beetle, crocodile, bird",
taxonomy_animal,"bear, silver, pilot, bird, kangaroo, crocodile, bicycle","kangaroo, crocodile, bear, bird",
taxonomy_animal,"crocodile, bike, bicycle, bear, dog, singer","crocodile, bear, dog",
taxonomy_animal,"bird, shorts, crocodile, kangaroo, bear, bike, noodles","bear, bird, crocodile, kangaroo",
taxonomy_animal,"singer, eagle, cow, kangaroo, coat, beetle, bike","beetle, cow, kangaroo, eagle",
taxonomy_animal,"boots, shorts, dog, bicycle, bird, bear","dog, bear, bird",
diff,47 0,47,
diff,61 0,61,
diff,21 1,20,
diff,31 1,30,
diff,44 1,43,
diff,60 1,59,
diff,27 2,25,
diff,57 2,55,
diff,91 2,89,
diff,33 3,30,
diff,38 3,35,
diff,45 3,42,
diff,80 3,77,
diff,85 3,82,
diff,57 4,53,
diff,36 5,31,
diff,48 5,43,
diff,81 5,76,
diff,98 5,93,
diff,44 6,38,
diff,51 6,45,
diff,22 7,15,
diff,63 7,56,
diff,77 7,70,
diff,82 7,75,
diff,50 8,42,
diff,62 9,53,
diff,91 9,82,
diff,22 10,12,
diff,79 10,69,
diff,46 12,34,
diff,67 12,55,
diff,71 12,59,
diff,106 12,94,
diff,70 13,57,
diff,62 14,48,
diff,87 14,73,
diff,111 14,97,
diff,87 15,72,
diff,51 16,35,
diff,72 16,56,
diff,108 17,91,
diff,71 19,52,
diff,91 21,70,
diff,116 22,94,
diff,121 22,99,
diff,106 24,82,
diff,58 25,33,
diff,75 25,50,
diff,103 25,78,
diff,117 25,92,
diff,56 28,28,
diff,93 28,65,
diff,111 28,83,
diff,65 29,36,
diff,92 32,60,
diff,93 33,60,
diff,129 33,96,
diff,130 33,97,
diff,92 34,58,
diff,70 35,35,
diff,75 35,40,
diff,131 37,94,
diff,82 39,43,
diff,98 43,55,
diff,99 43,56,
diff,114 46,68,
diff,128 46,82,
diff,137 46,91,
diff,138 48,90,
diff,144 48,96,
diff,122 50,72,
diff,130 50,80,
diff,141 50,91,
diff,111 51,60,
diff,134 51,83,
diff,150 51,99,
diff,128 52,76,
diff,124 53,71,
diff,150 53,97,
diff,126 54,72,
diff,114 56,58,
diff,119 56,63,
diff,131 57,74,
diff,131 58,73,
diff,148 59,89,
diff,143 60,83,
diff,154 62,92,
diff,158 62,96,
diff,142 65,77,
diff,142 69,73,
diff,149 69,80,
diff,167 70,97,
diff,168 75,93,
diff,171 76,95,
diff,154 77,77,
diff,172 78,94,
diff,175 81,94,
diff,181 84,97,
diff,194 97,97,
synonyms,procedure,process,
synonyms,drag,trail,
synonyms,permit,let,
synonyms,decide,determine,
synonyms,blueprint,design,
synonyms,help,aid,
synonyms,learn,see,
synonyms,keystone,key,
synonyms,young,youth,
synonyms,spare,free,
synonyms,arm,branch,
synonyms,amino,aminic,
synonyms,distinguished,grand,
synonyms,tongue,knife,
synonyms,strange,unknown,
synonyms,tap,tip,
synonyms,dollar,buck,
synonyms,overt,open,
synonyms,mood,mode,
synonyms,defeated,discomfited,
synonyms,boundary,bound,
synonyms,alive,live,
synonyms,risk,danger,
synonyms,distinct,decided,
synonyms,besides,also,
synonyms,appropriate,capture,
synonyms,frequent,haunt,
synonyms,skill,science,
synonyms,step,tread,
synonyms,perplex,get,
synonyms,spill,fall,
synonyms,yea,yeah,
synonyms,batch,plenty,
synonyms,alteration,adjustment,
synonyms,mother,fuss,
synonyms,offer,offering,
synonyms,career,calling,
synonyms,closure,closing,
synonyms,result,outcome,
synonyms,king,queen,
synonyms,strain,extend,
synonyms,here,hither,
synonyms,ranking,superior,
synonyms,telegram,wire,
synonyms,locomotive,engine,
synonyms,market,marketplace,
synonyms,justify,warrant,
synonyms,hammer,pound,
synonyms,yellow,yellowish,
synonyms,nation,country,
synonyms,repair,doctor,
synonyms,confidence,trust,
synonyms,sociable,social,
synonyms,tramp,bum,
synonyms,bias,prejudice,
synonyms,pour,stream,
synonyms,why,wherefore,
synonyms,behind,slow,
synonyms,hard,strong,
synonyms,penny,cent,
synonyms,foil,transparency,
synonyms,citation,reference,
synonyms,self,ego,
synonyms,improbable,tall,
synonyms,agrarian,agricultural,
synonyms,provision,supply,
synonyms,radical,basal,
synonyms,message,content,
synonyms,crying,tears,
synonyms,pierce,thrust,
synonyms,bank,cant,
synonyms,eye,optic,
synonyms,pure,virgin,
synonyms,sure,trusted,
synonyms,management,direction,
synonyms,advanced,modern,
synonyms,atom,particle,
synonyms,prevention,bar,
synonyms,being,existence,
synonyms,source,seed,
synonyms,garrison,fort,
synonyms,soonest,earliest,
synonyms,brilliantly,bright,
synonyms,affecting,touching,
synonyms,hail,come,
synonyms,mystery,secret,
synonyms,significant,important,
synonyms,system,scheme,
synonyms,hazard,risk,
synonyms,functional,operational,
synonyms,multitude,people,
synonyms,hale,whole,
synonyms,overture,approach,
synonyms,ancestor,root,
synonyms,possibly,perhaps,
synonyms,moisture,wet,
synonyms,completion,closing,
synonyms,infantry,foot,
synonyms,dose,dosage,
synonyms,marketplace,market,
larger_animal,"mirror carp, alligator",alligator,
larger_animal,"baboons, hamster",baboons,
larger_animal,"shih tzu, ant",shih tzu,
larger_animal,"hamster, salmon",salmon,
larger_animal,"cod, bobcat",cod,
larger_animal,"baboons, ant",baboons,
larger_animal,"giant squid, baboons",giant squid,
larger_animal,"reindeer, cod",reindeer,
larger_animal,"hamster, owl",owl,
larger_animal,"hamster, penguin",penguin,
larger_animal,"shih tzu, walrus",walrus,
larger_animal,"pomeranian, blue whale",blue whale,
larger_animal,"penguin, ant",penguin,
larger_animal,"border collie, ant",border collie,
larger_animal,"walrus, baboons",walrus,
larger_animal,"blue whale, shih tzu",blue whale,
larger_animal,"border collie, brown bear",brown bear,
larger_animal,"bobcat, humpback whale",humpback whale,
larger_animal,"penguin, german shepherd",german shepherd,
larger_animal,"bobcat, brown bear",brown bear,
larger_animal,"mirror carp, walrus",walrus,
larger_animal,"hamster, brown bear",brown bear,
larger_animal,"reindeer, sheep",reindeer,
larger_animal,"pomeranian, penguin",penguin,
larger_animal,"sheep, giant squid",giant squid,
larger_animal,"ant, mirror carp",mirror carp,
larger_animal,"penguin, anaconda",anaconda,
larger_animal,"rottweiler, penguin",rottweiler,
larger_animal,"owl, border collie",border collie,
larger_animal,"anaconda, ant",anaconda,
larger_animal,"northern pike, rottweiler",rottweiler,
larger_animal,"border collie, penguin",border collie,
larger_animal,"ant, brown bear",brown bear,
larger_animal,"bobcat, reindeer",reindeer,
larger_animal,"hamster, shih tzu",shih tzu,
larger_animal,"penguin, humpback whale",humpback whale,
larger_animal,"bobcat, baboons",baboons,
larger_animal,"german shepherd, ant",german shepherd,
larger_animal,"owl, reindeer",reindeer,
larger_animal,"anaconda, northern pike",anaconda,
larger_animal,"blue whale, cod",blue whale,
larger_animal,"border collie, shih tzu",border collie,
larger_animal,"baboons, alligator",alligator,
larger_animal,"cod, alligator",alligator,
larger_animal,"owl, rottweiler",rottweiler,
larger_animal,"walrus, bobcat",walrus,
larger_animal,"cod, pomeranian",cod,
larger_animal,"mirror carp, blue whale",blue whale,
larger_animal,"northern pike, cod",cod,
larger_animal,"blue whale, baboons",blue whale,
larger_animal,"blue whale, penguin",blue whale,
larger_animal,"blue whale, ant",blue whale,
larger_animal,"sheep, alligator",alligator,
larger_animal,"giant squid, shih tzu",giant squid,
larger_animal,"giant squid, hamster",giant squid,
larger_animal,"cod, penguin",cod,
larger_animal,"salmon, rottweiler",rottweiler,
larger_animal,"pomeranian, owl",owl,
larger_animal,"ant, reindeer",reindeer,
larger_animal,"ant, humpback whale",humpback whale,
larger_animal,"penguin, giant squid",giant squid,
larger_animal,"walrus, hamster",walrus,
larger_animal,"cod, ant",cod,
larger_animal,"giant squid, owl",giant squid,
larger_animal,"hamster, bobcat",bobcat,
larger_animal,"german shepherd, northern pike",german shepherd,
larger_animal,"giant squid, border collie",giant squid,
larger_animal,"reindeer, baboons",reindeer,
larger_animal,"salmon, pomeranian",salmon,
larger_animal,"salmon, alligator",alligator,
larger_animal,"ant, alligator",alligator,
larger_animal,"owl, german shepherd",german shepherd,
larger_animal,"northern pike, walrus",walrus,
larger_animal,"alligator, northern pike",alligator,
larger_animal,"blue whale, hamster",blue whale,
larger_animal,"anaconda, pomeranian",anaconda,
larger_animal,"ant, northern pike",northern pike,
larger_animal,"german shepherd, pomeranian",german shepherd,
larger_animal,"hamster, alligator",alligator,
larger_animal,"alligator, shih tzu",alligator,
larger_animal,"humpback whale, salmon",humpback whale,
larger_animal,"sheep, anaconda",anaconda,
larger_animal,"alligator, bobcat",alligator,
larger_animal,"hamster, reindeer",reindeer,
larger_animal,"penguin, brown bear",brown bear,
larger_animal,"humpback whale, border collie",humpback whale,
larger_animal,"walrus, salmon",walrus,
larger_animal,"giant squid, salmon",giant squid,
larger_animal,"pomeranian, brown bear",brown bear,
larger_animal,"cod, mirror carp",cod,
larger_animal,"anaconda, owl",anaconda,
larger_animal,"border collie, pomeranian",border collie,
larger_animal,"baboons, penguin",baboons,
larger_animal,"northern pike, brown bear",brown bear,
larger_animal,"pomeranian, shih tzu",shih tzu,
larger_animal,"owl, blue whale",blue whale,
larger_animal,"salmon, anaconda",anaconda,
larger_animal,"brown bear, cod",brown bear,
larger_animal,"brown bear, salmon",brown bear,
larger_animal,"border collie, salmon",border collie,
translation_en-es,place,lugar,"['asiento', 'apostar', 'casa', 'colocar', 'posición', 'puesto', 'entonar', 'colocarse', 'poner', 'situar', 'lugar', 'contratar', 'sitio', 'clasificarse', 'plaza']"
translation_en-es,family,familia,"['familia', 'familiar']"
translation_en-es,point,punto,"['indicar', 'momento', 'punta', 'punto', 'apuntar']"
translation_en-es,east,este,"['levante', 'hacia oriente', 'oriental', 'hacia el este', 'oriente', 'rumbo al este', 'al este', 'este', 'rumbo este', 'oriente.']"
translation_en-es,aircraft,aeronave,['aeronave']
translation_en-es,title,título,"['tutela', 'título']"
translation_en-es,party,partido,"['divertirse', 'parte contratante', 'carrete', 'fiestar', 'partido', 'pachanga', 'reventón', 'fiesta']"
translation_en-es,victory,victoria,['victoria']
translation_en-es,list,tira,"['escora', 'hacer una lista', 'tira', 'lista', 'escorar', 'leer una lista']"
translation_en-es,evidence,evidencia,"['prueba', 'evidencia', 'evidenciar']"
translation_en-es,brother,hermano,"['par', 'hermano']"
translation_en-es,novel,novela,"['novela', 'novedoso', 'novedosa']"
translation_en-es,turn,turno,"['turno', 'rebelar', 'girar', 'volver', 'doblar']"
translation_en-es,king,rey,"['rey', 'coronar']"
translation_en-es,staff,personal,"['empleado', 'varas', 'personal', 'pentagrama', 'equipo', 'plantilla', 'báculo', 'pauta', 'bastón']"
translation_en-es,broadcast,programa,"['programa', 'emisión']"
translation_en-es,trade,comercio,"['comerciar', 'comercio', 'gremio']"
translation_en-es,unit,unidad,['unidad']
translation_en-es,letter,letra,"['carta', 'letra', 'carácter']"
translation_en-es,morning,mañana,"['madrugada', 'mañana', 'AM']"
translation_en-es,coach,coche,"['entrenadora', 'vagón', 'entrenar', 'entrenador', 'autocar', 'coche']"
translation_en-es,inch,pulgada,['pulgada']
translation_en-es,invasion,invasión,['invasión']
translation_en-es,sense,sentido,"['significación', 'significado', 'sentir', 'sentido', 'sensación', 'acepción', 'dar sentido']"
translation_en-es,ice,hielo,"['helado', 'congelar', 'hielo']"
translation_en-es,floor,palabra,['palabra']
translation_en-es,boat,barca,"['barco', 'bote', 'barca']"
translation_en-es,seat,asiento,"['asiento', 'sede']"
translation_en-es,transport,transporte,"['exiliar', 'deportado', 'transportar', 'transporte']"
translation_en-es,platform,plataforma,"['plataforma', 'andén']"
translation_en-es,environment,ambiente,"['sistema operativo', 'ecosistema', 'medio ambiente', 'medio', 'programa', 'clima', 'medioambiente', 'naturaleza', 'entorno', 'ambiente']"
translation_en-es,genre,género,['género']
translation_en-es,combination,combinación,['combinación']
translation_en-es,importance,importancia,['importancia']
translation_en-es,department,departamento,"['sección', 'departamento']"
translation_en-es,assistance,asistencia,['asistencia']
translation_en-es,anniversary,aniversario,['aniversario']
translation_en-es,fighter,guerrero,"['caza', 'combatiente', 'guerrero']"
translation_en-es,instance,instancia,"['caso', 'instancia']"
translation_en-es,occupation,ocupación,['ocupación']
translation_en-es,satellite,satélite,['satélite']
translation_en-es,strip,tira,"['remover', 'tira', 'sacarse la ropa', 'desvestir']"
translation_en-es,triple,triple,"['triple', 'triplicar']"
translation_en-es,duration,duración,['duración']
translation_en-es,slavery,esclavitud,['esclavitud']
