,task,input,output
635,active_to_passive,The managers supported the artists.,The artists were supported by the managers.
386,active_to_passive,The athlete admired the judge.,The judge was admired by the athlete.
129,active_to_passive,The scientist helped the presidents.,The presidents were helped by the scientist.
242,active_to_passive,The manager stopped the lawyers.,The lawyers were stopped by the manager.
588,active_to_passive,The artists recommended the secretary.,The secretary was recommended by the artists.
885,active_to_passive,The judge helped the doctor.,The doctor was helped by the judge.
136,active_to_passive,The manager thanked the president.,The president was thanked by the manager.
782,active_to_passive,The author encouraged the professor.,The professor was encouraged by the author.
43,active_to_passive,The athlete mentioned the scientist.,The scientist was mentioned by the athlete.
192,active_to_passive,The doctors avoided the athletes.,The athletes were avoided by the doctors.
615,active_to_passive,The managers advised the professors.,The professors were advised by the managers.
478,active_to_passive,The lawyers avoided the scientists.,The scientists were avoided by the lawyers.
62,active_to_passive,The scientist encouraged the doctors.,The doctors were encouraged by the scientist.
272,active_to_passive,The doctor advised the actors.,The actors were advised by the doctor.
414,active_to_passive,The artist recognized the students.,The students were recognized by the artist.
365,active_to_passive,The actors contacted the senator.,The senator was contacted by the actors.
810,active_to_passive,The scientists contacted the tourists.,The tourists were contacted by the scientists.
10,active_to_passive,The tourist admired the managers.,The managers were admired by the tourist.
500,active_to_passive,The senator helped the scientists.,The scientists were helped by the senator.
362,active_to_passive,The managers introduced the student.,The student was introduced by the managers.
646,active_to_passive,The athlete recommended the lawyer.,The lawyer was recommended by the athlete.
290,active_to_passive,The actors stopped the scientist.,The scientist was stopped by the actors.
513,active_to_passive,The professors recognized the athlete.,The athlete was recognized by the professors.
466,active_to_passive,The authors avoided the doctor.,The doctor was avoided by the authors.
121,active_to_passive,The judge recommended the scientists.,The scientists were recommended by the judge.
636,active_to_passive,The secretary encouraged the authors.,The authors were encouraged by the secretary.
884,active_to_passive,The artists encouraged the judge.,The judge was encouraged by the artists.
309,active_to_passive,The scientists contacted the student.,The student was contacted by the scientists.
115,active_to_passive,The secretary helped the tourist.,The tourist was helped by the secretary.
824,active_to_passive,The actor admired the secretaries.,The secretaries were admired by the actor.
435,active_to_passive,The students helped the scientist.,The scientist was helped by the students.
165,active_to_passive,The athletes mentioned the tourist.,The tourist was mentioned by the athletes.
339,active_to_passive,The professor believed the artist.,The artist was believed by the professor.
628,active_to_passive,The senators recommended the doctors.,The doctors were recommended by the senators.
859,active_to_passive,The actor admired the banker.,The banker was admired by the actor.
66,active_to_passive,The professors believed the manager.,The manager was believed by the professors.
894,active_to_passive,The bankers supported the professor.,The professor was supported by the bankers.
753,active_to_passive,The tourists introduced the artists.,The artists were introduced by the tourists.
747,active_to_passive,The authors stopped the presidents.,The presidents were stopped by the authors.
162,active_to_passive,The judges mentioned the bankers.,The bankers were mentioned by the judges.
509,active_to_passive,The students supported the professor.,The professor was supported by the students.
325,active_to_passive,The judge stopped the artists.,The artists were stopped by the judge.
125,active_to_passive,The students recognized the tourist.,The tourist was recognized by the students.
212,active_to_passive,The judges helped the students.,The students were helped by the judges.
321,active_to_passive,The managers supported the president.,The president was supported by the managers.
363,active_to_passive,The senator helped the judges.,The judges were helped by the senator.
890,active_to_passive,The senators believed the presidents.,The presidents were believed by the senators.
369,active_to_passive,The author contacted the actors.,The actors were contacted by the author.
600,active_to_passive,The student thanked the tourists.,The tourists were thanked by the student.
518,active_to_passive,The secretaries stopped the bankers.,The bankers were stopped by the secretaries.
303,active_to_passive,The bankers stopped the tourist.,The tourist was stopped by the bankers.
877,active_to_passive,The bankers believed the athlete.,The athlete was believed by the bankers.
503,active_to_passive,The athlete recommended the secretary.,The secretary was recommended by the athlete.
458,active_to_passive,The tourist advised the artists.,The artists were advised by the tourist.
190,active_to_passive,The actor stopped the judge.,The judge was stopped by the actor.
571,active_to_passive,The artist stopped the president.,The president was stopped by the artist.
218,active_to_passive,The students helped the senator.,The senator was helped by the students.
0,active_to_passive,The tourist supported the authors.,The authors were supported by the tourist.
616,active_to_passive,The manager helped the students.,The students were helped by the manager.
13,active_to_passive,The senators advised the presidents.,The presidents were advised by the senators.
135,active_to_passive,The professor thanked the tourists.,The tourists were thanked by the professor.
24,active_to_passive,The tourist believed the doctor.,The doctor was believed by the tourist.
163,active_to_passive,The tourist helped the actor.,The actor was helped by the tourist.
525,active_to_passive,The judges thanked the lawyers.,The lawyers were thanked by the judges.
727,active_to_passive,The president encouraged the bankers.,The bankers were encouraged by the president.
454,active_to_passive,The manager introduced the professors.,The professors were introduced by the manager.
661,active_to_passive,The tourist thanked the lawyers.,The lawyers were thanked by the tourist.
22,active_to_passive,The secretary encouraged the lawyers.,The lawyers were encouraged by the secretary.
725,active_to_passive,The doctors contacted the scientist.,The scientist was contacted by the doctors.
315,active_to_passive,The secretary recommended the artist.,The artist was recommended by the secretary.
679,active_to_passive,The professors helped the secretary.,The secretary was helped by the professors.
707,active_to_passive,The presidents encouraged the tourists.,The tourists were encouraged by the presidents.
851,active_to_passive,The professors helped the president.,The president was helped by the professors.
275,active_to_passive,The lawyers helped the actor.,The actor was helped by the lawyers.
893,active_to_passive,The bankers mentioned the doctors.,The doctors were mentioned by the bankers.
855,active_to_passive,The lawyer recommended the athletes.,The athletes were recommended by the lawyer.
550,active_to_passive,The senator supported the artists.,The artists were supported by the senator.
401,active_to_passive,The athlete avoided the judge.,The judge was avoided by the athlete.
110,active_to_passive,The secretaries introduced the doctor.,The doctor was introduced by the secretaries.
322,active_to_passive,The banker mentioned the secretaries.,The secretaries were mentioned by the banker.
660,active_to_passive,The authors contacted the judges.,The judges were contacted by the authors.
699,active_to_passive,The student helped the manager.,The manager was helped by the student.
122,active_to_passive,The author thanked the secretary.,The secretary was thanked by the author.
389,active_to_passive,The authors encouraged the president.,The president was encouraged by the authors.
690,active_to_passive,The senator thanked the student.,The student was thanked by the senator.
567,active_to_passive,The artists believed the bankers.,The bankers were believed by the artists.
119,active_to_passive,The banker avoided the secretaries.,The secretaries were avoided by the banker.
771,active_to_passive,The professor encouraged the doctor.,The doctor was encouraged by the professor.
238,active_to_passive,The secretary admired the judge.,The judge was admired by the secretary.
744,active_to_passive,The lawyer encouraged the scientists.,The scientists were encouraged by the lawyer.
714,active_to_passive,The president recommended the manager.,The manager was recommended by the president.
406,active_to_passive,The author stopped the judge.,The judge was stopped by the author.
704,active_to_passive,The president encouraged the athletes.,The athletes were encouraged by the president.
86,active_to_passive,The scientist stopped the banker.,The banker was stopped by the scientist.
814,active_to_passive,The athletes advised the scientists.,The scientists were advised by the athletes.
140,active_to_passive,The artists thanked the scientist.,The scientist was thanked by the artists.
310,active_to_passive,The artists believed the tourists.,The tourists were believed by the artists.
762,active_to_passive,The professor helped the athletes.,The athletes were helped by the professor.
757,active_to_passive,The scientist recognized the president.,The president was recognized by the scientist.
27,active_to_passive,The presidents recommended the student.,The student was recommended by the presidents.
441,active_to_passive,The secretary admired the scientist.,The scientist was admired by the secretary.
156,active_to_passive,The manager recognized the lawyer.,The lawyer was recognized by the manager.
558,active_to_passive,The managers introduced the senators.,The senators were introduced by the managers.
718,active_to_passive,The judge supported the professor.,The professor was supported by the judge.
516,active_to_passive,The artist advised the doctor.,The doctor was advised by the artist.
813,active_to_passive,The manager recommended the author.,The author was recommended by the manager.
425,active_to_passive,The doctors encouraged the professors.,The professors were encouraged by the doctors.
257,active_to_passive,The doctors admired the presidents.,The presidents were admired by the doctors.
829,active_to_passive,The judge believed the senators.,The senators were believed by the judge.
819,active_to_passive,The manager recognized the president.,The president was recognized by the manager.
175,active_to_passive,The lawyers contacted the scientists.,The scientists were contacted by the lawyers.
172,active_to_passive,The professor admired the athlete.,The athlete was admired by the professor.
283,active_to_passive,The tourists mentioned the manager.,The manager was mentioned by the tourists.
318,active_to_passive,The tourist recognized the athletes.,The athletes were recognized by the tourist.
326,active_to_passive,The tourists avoided the secretaries.,The secretaries were avoided by the tourists.
822,active_to_passive,The author encouraged the secretary.,The secretary was encouraged by the author.
323,active_to_passive,The artist contacted the professors.,The professors were contacted by the artist.
241,active_to_passive,The banker admired the lawyer.,The lawyer was admired by the banker.
791,active_to_passive,The actor encouraged the banker.,The banker was encouraged by the actor.
447,active_to_passive,The scientist supported the actor.,The actor was supported by the scientist.
863,active_to_passive,The professor recommended the judges.,The judges were recommended by the professor.
764,active_to_passive,The doctors supported the banker.,The banker was supported by the doctors.
672,active_to_passive,The presidents introduced the athlete.,The athlete was introduced by the presidents.
436,active_to_passive,The students admired the tourists.,The tourists were admired by the students.
302,active_to_passive,The scientists believed the lawyer.,The lawyer was believed by the scientists.
652,active_to_passive,The tourist encouraged the scientists.,The scientists were encouraged by the tourist.
703,active_to_passive,The doctors encouraged the judges.,The judges were encouraged by the doctors.
898,active_to_passive,The bankers believed the manager.,The manager was believed by the bankers.
101,active_to_passive,The author stopped the professor.,The professor was stopped by the author.
180,active_to_passive,The actor supported the president.,The president was supported by the actor.
80,active_to_passive,The doctors stopped the scientists.,The scientists were stopped by the doctors.
181,active_to_passive,The senators helped the tourist.,The tourist was helped by the senators.
356,active_to_passive,The athlete recommended the tourists.,The tourists were recommended by the athlete.
775,active_to_passive,The athlete encouraged the student.,The student was encouraged by the athlete.
399,active_to_passive,The author believed the scientists.,The scientists were believed by the author.
630,active_to_passive,The secretary stopped the lawyer.,The lawyer was stopped by the secretary.
63,active_to_passive,The lawyer contacted the students.,The students were contacted by the lawyer.
843,active_to_passive,The scientists avoided the students.,The students were avoided by the scientists.
366,active_to_passive,The lawyers mentioned the tourists.,The tourists were mentioned by the lawyers.
383,active_to_passive,The actors mentioned the student.,The student was mentioned by the actors.
98,active_to_passive,The president encouraged the professor.,The professor was encouraged by the president.
530,active_to_passive,The lawyers believed the scientists.,The scientists were believed by the lawyers.
367,active_to_passive,The doctors admired the judges.,The judges were admired by the doctors.
682,active_to_passive,The professor avoided the judges.,The judges were avoided by the professor.
643,active_to_passive,The presidents stopped the actors.,The actors were stopped by the presidents.
295,active_to_passive,The tourist mentioned the secretary.,The secretary was mentioned by the tourist.
329,active_to_passive,The managers mentioned the scientists.,The scientists were mentioned by the managers.
835,active_to_passive,The lawyer avoided the professor.,The professor was avoided by the lawyer.
624,active_to_passive,The actors admired the artist.,The artist was admired by the actors.
507,active_to_passive,The actor admired the professor.,The professor was admired by the actor.
67,active_to_passive,The bankers advised the scientist.,The scientist was advised by the bankers.
482,active_to_passive,The athletes stopped the scientists.,The scientists were stopped by the athletes.
730,active_to_passive,The author avoided the doctors.,The doctors were avoided by the author.
874,active_to_passive,The tourists advised the actor.,The actor was advised by the tourists.
222,active_to_passive,The actors stopped the artists.,The artists were stopped by the actors.
281,active_to_passive,The bankers recognized the tourists.,The tourists were recognized by the bankers.
508,active_to_passive,The manager recognized the senator.,The senator was recognized by the manager.
850,active_to_passive,The tourists recommended the athletes.,The athletes were recommended by the tourists.
899,active_to_passive,The scientist encouraged the judges.,The judges were encouraged by the scientist.
8,active_to_passive,The tourists recommended the bankers.,The bankers were recommended by the tourists.
688,active_to_passive,The scientists avoided the doctors.,The doctors were avoided by the scientists.
831,active_to_passive,The lawyer avoided the president.,The president was avoided by the lawyer.
451,active_to_passive,The banker thanked the athlete.,The athlete was thanked by the banker.
523,active_to_passive,The artist introduced the tourist.,The tourist was introduced by the artist.
811,active_to_passive,The doctor advised the managers.,The managers were advised by the doctor.
888,active_to_passive,The judges contacted the scientists.,The scientists were contacted by the judges.
433,active_to_passive,The actor supported the lawyer.,The lawyer was supported by the actor.
411,active_to_passive,The judges helped the presidents.,The presidents were helped by the judges.
619,active_to_passive,The artist avoided the lawyers.,The lawyers were avoided by the artist.
278,active_to_passive,The lawyers helped the tourist.,The tourist was helped by the lawyers.
164,active_to_passive,The managers stopped the actors.,The actors were stopped by the managers.
800,active_to_passive,The president helped the secretaries.,The secretaries were helped by the president.
374,active_to_passive,The author supported the secretary.,The secretary was supported by the author.
827,active_to_passive,The judges supported the scientists.,The scientists were supported by the judges.
795,active_to_passive,The bankers introduced the actors.,The actors were introduced by the bankers.
84,active_to_passive,The athlete avoided the actor.,The actor was avoided by the athlete.
91,active_to_passive,The actor encouraged the scientists.,The scientists were encouraged by the actor.
260,active_to_passive,The banker recommended the secretary.,The secretary was recommended by the banker.
228,active_to_passive,The professor supported the student.,The student was supported by the professor.
769,active_to_passive,The senators avoided the presidents.,The presidents were avoided by the senators.
166,active_to_passive,The lawyer supported the banker.,The banker was supported by the lawyer.
584,active_to_passive,The bankers advised the presidents.,The presidents were advised by the bankers.
99,active_to_passive,The scientist recommended the president.,The president was recommended by the scientist.
716,active_to_passive,The actor encouraged the professors.,The professors were encouraged by the actor.
186,active_to_passive,The author believed the tourist.,The tourist was believed by the author.
696,active_to_passive,The senator supported the judge.,The judge was supported by the senator.
809,active_to_passive,The lawyers stopped the student.,The student was stopped by the lawyers.
72,active_to_passive,The presidents recognized the scientist.,The scientist was recognized by the presidents.
467,active_to_passive,The professor admired the author.,The author was admired by the professor.
607,active_to_passive,The athletes recommended the actor.,The actor was recommended by the athletes.
694,active_to_passive,The presidents helped the doctors.,The doctors were helped by the presidents.
459,active_to_passive,The athletes thanked the scientists.,The scientists were thanked by the athletes.
97,active_to_passive,The manager helped the professors.,The professors were helped by the manager.
301,active_to_passive,The judge avoided the artist.,The artist was avoided by the judge.
774,active_to_passive,The scientists admired the bankers.,The bankers were admired by the scientists.
418,active_to_passive,The athlete stopped the presidents.,The presidents were stopped by the athlete.
485,active_to_passive,The senators avoided the doctor.,The doctor was avoided by the senators.
483,active_to_passive,The judge thanked the professor.,The professor was thanked by the judge.
396,active_to_passive,The secretaries encouraged the judges.,The judges were encouraged by the secretaries.
39,active_to_passive,The secretary avoided the senator.,The senator was avoided by the secretary.
390,active_to_passive,The professor recommended the banker.,The banker was recommended by the professor.
603,active_to_passive,The artist recognized the judges.,The judges were recognized by the artist.
42,active_to_passive,The tourists recommended the lawyer.,The lawyer was recommended by the tourists.
187,active_to_passive,The senator admired the authors.,The authors were admired by the senator.
118,active_to_passive,The artists thanked the athlete.,The athlete was thanked by the artists.
759,active_to_passive,The tourists advised the professors.,The professors were advised by the tourists.
82,active_to_passive,The athletes thanked the scientist.,The scientist was thanked by the athletes.
861,active_to_passive,The manager advised the banker.,The banker was advised by the manager.
593,active_to_passive,The athletes advised the secretary.,The secretary was advised by the athletes.
311,active_to_passive,The tourists advised the judges.,The judges were advised by the tourists.
816,active_to_passive,The authors helped the doctor.,The doctor was helped by the authors.
723,active_to_passive,The judge introduced the president.,The president was introduced by the judge.
783,active_to_passive,The artist avoided the judge.,The judge was avoided by the artist.
743,active_to_passive,The judges admired the actor.,The actor was admired by the judges.
738,active_to_passive,The senators admired the managers.,The managers were admired by the senators.
546,active_to_passive,The doctor avoided the president.,The president was avoided by the doctor.
277,active_to_passive,The managers helped the professors.,The professors were helped by the managers.
653,active_to_passive,The judge recommended the secretary.,The secretary was recommended by the judge.
533,active_to_passive,The scientists helped the student.,The student was helped by the scientists.
223,active_to_passive,The bankers stopped the lawyer.,The lawyer was stopped by the bankers.
592,active_to_passive,The tourist recommended the senators.,The senators were recommended by the tourist.
833,active_to_passive,The doctors stopped the senator.,The senator was stopped by the doctors.
852,active_to_passive,The presidents mentioned the students.,The students were mentioned by the presidents.
400,active_to_passive,The secretaries recommended the actors.,The actors were recommended by the secretaries.
706,active_to_passive,The tourists contacted the bankers.,The bankers were contacted by the tourists.
726,active_to_passive,The judge introduced the student.,The student was introduced by the judge.
60,active_to_passive,The authors stopped the lawyers.,The lawyers were stopped by the authors.
864,active_to_passive,The actors supported the tourist.,The tourist was supported by the actors.
623,active_to_passive,The athletes mentioned the bankers.,The bankers were mentioned by the athletes.
521,active_to_passive,The tourists supported the senators.,The senators were supported by the tourists.
502,active_to_passive,The judges avoided the scientists.,The scientists were avoided by the judges.
443,active_to_passive,The students supported the athletes.,The athletes were supported by the students.
879,active_to_passive,The doctors advised the senators.,The senators were advised by the doctors.
649,active_to_passive,The president mentioned the professor.,The professor was mentioned by the president.
644,active_to_passive,The students helped the artists.,The artists were helped by the students.
536,active_to_passive,The senator mentioned the author.,The author was mentioned by the senator.
230,active_to_passive,The professor believed the scientist.,The scientist was believed by the professor.
243,active_to_passive,The athletes avoided the lawyers.,The lawyers were avoided by the athletes.
231,active_to_passive,The secretary recommended the professor.,The professor was recommended by the secretary.
611,active_to_passive,The actors avoided the secretary.,The secretary was avoided by the actors.
21,active_to_passive,The doctor believed the scientists.,The scientists were believed by the doctor.
788,active_to_passive,The actor admired the students.,The students were admired by the actor.
713,active_to_passive,The authors thanked the actors.,The actors were thanked by the authors.
465,active_to_passive,The athletes stopped the artists.,The artists were stopped by the athletes.
316,active_to_passive,The secretaries admired the artist.,The artist was admired by the secretaries.
675,active_to_passive,The manager contacted the author.,The author was contacted by the manager.
54,active_to_passive,The banker advised the judge.,The judge was advised by the banker.
350,active_to_passive,The manager advised the scientist.,The scientist was advised by the manager.
735,active_to_passive,The secretaries advised the judge.,The judge was advised by the secretaries.
170,active_to_passive,The authors recognized the banker.,The banker was recognized by the authors.
702,active_to_passive,The athlete contacted the doctor.,The doctor was contacted by the athlete.
807,active_to_passive,The senators avoided the lawyer.,The lawyer was avoided by the senators.
457,active_to_passive,The lawyer supported the athlete.,The athlete was supported by the lawyer.
229,active_to_passive,The author believed the actor.,The actor was believed by the author.
609,active_to_passive,The managers supported the bankers.,The bankers were supported by the managers.
6,active_to_passive,The authors advised the student.,The student was advised by the authors.
254,active_to_passive,The manager encouraged the secretaries.,The secretaries were encouraged by the manager.
719,active_to_passive,The lawyers encouraged the manager.,The manager was encouraged by the lawyers.
542,active_to_passive,The judge recognized the doctors.,The doctors were recognized by the judge.
427,active_to_passive,The lawyer admired the author.,The author was admired by the lawyer.
88,active_to_passive,The managers mentioned the student.,The student was mentioned by the managers.
168,active_to_passive,The senators mentioned the artists.,The artists were mentioned by the senators.
853,active_to_passive,The student stopped the presidents.,The presidents were stopped by the student.
402,active_to_passive,The banker mentioned the judges.,The judges were mentioned by the banker.
379,active_to_passive,The scientists advised the professors.,The professors were advised by the scientists.
698,active_to_passive,The professors introduced the senators.,The senators were introduced by the professors.
522,active_to_passive,The artists supported the doctors.,The doctors were supported by the artists.
41,active_to_passive,The professors advised the athlete.,The athlete was advised by the professors.
750,active_to_passive,The managers stopped the president.,The president was stopped by the managers.
331,active_to_passive,The judge encouraged the actors.,The actors were encouraged by the judge.
285,active_to_passive,The senator contacted the lawyer.,The lawyer was contacted by the senator.
177,active_to_passive,The secretary helped the manager.,The manager was helped by the secretary.
151,active_to_passive,The actors stopped the athletes.,The athletes were stopped by the actors.
627,active_to_passive,The lawyers stopped the professor.,The professor was stopped by the lawyers.
152,active_to_passive,The author helped the manager.,The manager was helped by the author.
235,active_to_passive,The secretary admired the bankers.,The bankers were admired by the secretary.
857,active_to_passive,The managers recommended the student.,The student was recommended by the managers.
705,active_to_passive,The actor encouraged the athletes.,The athletes were encouraged by the actor.
842,active_to_passive,The secretaries mentioned the presidents.,The presidents were mentioned by the secretaries.
748,active_to_passive,The senators helped the judges.,The judges were helped by the senators.
826,active_to_passive,The artists advised the secretaries.,The secretaries were advised by the artists.
381,active_to_passive,The senators admired the athlete.,The athlete was admired by the senators.
227,active_to_passive,The tourist believed the judge.,The judge was believed by the tourist.
107,active_to_passive,The student encouraged the professor.,The professor was encouraged by the student.
470,active_to_passive,The manager encouraged the senators.,The senators were encouraged by the manager.
836,active_to_passive,The doctors thanked the lawyers.,The lawyers were thanked by the doctors.
812,active_to_passive,The tourists avoided the lawyer.,The lawyer was avoided by the tourists.
305,active_to_passive,The doctor recommended the students.,The students were recommended by the doctor.
617,active_to_passive,The professor advised the senators.,The senators were advised by the professor.
19,active_to_passive,The judges stopped the lawyers.,The lawyers were stopped by the judges.
353,active_to_passive,The banker believed the author.,The author was believed by the banker.
159,active_to_passive,The professors encouraged the students.,The students were encouraged by the professors.
307,active_to_passive,The senators encouraged the lawyers.,The lawyers were encouraged by the senators.
779,active_to_passive,The students introduced the professors.,The professors were introduced by the students.
147,active_to_passive,The students stopped the managers.,The managers were stopped by the students.
158,active_to_passive,The artist recommended the student.,The student was recommended by the artist.
758,active_to_passive,The secretaries recognized the senator.,The senator was recognized by the secretaries.
148,active_to_passive,The bankers supported the author.,The author was supported by the bankers.
808,active_to_passive,The student supported the senators.,The senators were supported by the student.
870,active_to_passive,The bankers advised the lawyer.,The lawyer was advised by the bankers.
128,active_to_passive,The lawyers supported the judge.,The judge was supported by the lawyers.
47,active_to_passive,The secretaries supported the scientists.,The scientists were supported by the secretaries.
479,active_to_passive,The doctors admired the artist.,The artist was admired by the doctors.
687,active_to_passive,The students encouraged the tourists.,The tourists were encouraged by the students.
333,active_to_passive,The presidents introduced the athletes.,The athletes were introduced by the presidents.
591,active_to_passive,The banker contacted the author.,The author was contacted by the banker.
438,active_to_passive,The professor advised the scientists.,The scientists were advised by the professor.
33,active_to_passive,The senator avoided the tourists.,The tourists were avoided by the senator.
557,active_to_passive,The president supported the lawyer.,The lawyer was supported by the president.
512,active_to_passive,The actor contacted the secretary.,The secretary was contacted by the actor.
565,active_to_passive,The athlete believed the artist.,The artist was believed by the athlete.
256,active_to_passive,The president helped the bankers.,The bankers were helped by the president.
292,active_to_passive,The judge admired the banker.,The banker was admired by the judge.
865,active_to_passive,The athlete believed the judge.,The judge was believed by the athlete.
883,active_to_passive,The lawyers believed the manager.,The manager was believed by the lawyers.
415,active_to_passive,The students supported the authors.,The authors were supported by the students.
858,active_to_passive,The professors introduced the manager.,The manager was introduced by the professors.
548,active_to_passive,The doctor admired the authors.,The authors were admired by the doctor.
448,active_to_passive,The artist mentioned the actors.,The actors were mentioned by the artist.
896,active_to_passive,The athletes mentioned the judges.,The judges were mentioned by the athletes.
20,active_to_passive,The president advised the artists.,The artists were advised by the president.
404,active_to_passive,The athletes recognized the doctors.,The doctors were recognized by the athletes.
5,active_to_passive,The senator advised the doctors.,The doctors were advised by the senator.
219,active_to_passive,The secretary believed the banker.,The banker was believed by the secretary.
871,active_to_passive,The actor encouraged the tourists.,The tourists were encouraged by the actor.
50,active_to_passive,The doctors helped the professor.,The professor was helped by the doctors.
732,active_to_passive,The actors recognized the author.,The author was recognized by the actors.
236,active_to_passive,The author introduced the actor.,The actor was introduced by the author.
340,active_to_passive,The tourist avoided the judges.,The judges were avoided by the tourist.
432,active_to_passive,The judge encouraged the artist.,The artist was encouraged by the judge.
204,active_to_passive,The authors encouraged the athlete.,The athlete was encouraged by the authors.
106,active_to_passive,The president believed the professors.,The professors were believed by the president.
70,active_to_passive,The lawyer avoided the secretaries.,The secretaries were avoided by the lawyer.
685,active_to_passive,The doctors avoided the student.,The student was avoided by the doctors.
183,active_to_passive,The banker helped the secretaries.,The secretaries were helped by the banker.
220,active_to_passive,The professor recognized the scientist.,The scientist was recognized by the professor.
206,active_to_passive,The presidents helped the artist.,The artist was helped by the presidents.
364,active_to_passive,The artists contacted the doctors.,The doctors were contacted by the artists.
394,active_to_passive,The artists avoided the secretary.,The secretary was avoided by the artists.
680,active_to_passive,The doctor avoided the lawyers.,The lawyers were avoided by the doctor.
213,active_to_passive,The athlete thanked the student.,The student was thanked by the athlete.
233,active_to_passive,The presidents mentioned the scientists.,The scientists were mentioned by the presidents.
103,active_to_passive,The doctors thanked the senator.,The senator was thanked by the doctors.
742,active_to_passive,The professors supported the doctor.,The doctor was supported by the professors.
881,active_to_passive,The scientists supported the presidents.,The presidents were supported by the scientists.
666,active_to_passive,The managers introduced the tourist.,The tourist was introduced by the managers.
259,active_to_passive,The actors helped the scientists.,The scientists were helped by the actors.
895,active_to_passive,The judge advised the student.,The student was advised by the judge.
693,active_to_passive,The presidents avoided the secretaries.,The secretaries were avoided by the presidents.
529,active_to_passive,The judge contacted the lawyer.,The lawyer was contacted by the judge.
300,active_to_passive,The banker encouraged the lawyer.,The lawyer was encouraged by the banker.
701,active_to_passive,The bankers thanked the scientist.,The scientist was thanked by the bankers.
504,active_to_passive,The actors helped the judge.,The judge was helped by the actors.
130,active_to_passive,The doctor encouraged the judges.,The judges were encouraged by the doctor.
580,active_to_passive,The doctor helped the secretaries.,The secretaries were helped by the doctor.
171,active_to_passive,The lawyer supported the athletes.,The athletes were supported by the lawyer.
317,active_to_passive,The managers believed the lawyers.,The lawyers were believed by the managers.
471,active_to_passive,The presidents avoided the tourists.,The tourists were avoided by the presidents.
555,active_to_passive,The banker introduced the presidents.,The presidents were introduced by the banker.
474,active_to_passive,The student believed the author.,The author was believed by the student.
494,active_to_passive,The manager encouraged the professors.,The professors were encouraged by the manager.
806,active_to_passive,The scientists mentioned the tourists.,The tourists were mentioned by the scientists.
71,active_to_passive,The doctor recognized the actors.,The actors were recognized by the doctor.
25,active_to_passive,The students helped the authors.,The authors were helped by the students.
596,active_to_passive,The judge recognized the lawyers.,The lawyers were recognized by the judge.
562,active_to_passive,The senator mentioned the tourist.,The tourist was mentioned by the senator.
26,active_to_passive,The artist thanked the lawyers.,The lawyers were thanked by the artist.
586,active_to_passive,The judge recommended the athletes.,The athletes were recommended by the judge.
817,active_to_passive,The scientists helped the bankers.,The bankers were helped by the scientists.
547,active_to_passive,The manager thanked the senators.,The senators were thanked by the manager.
892,active_to_passive,The banker encouraged the author.,The author was encouraged by the banker.
428,active_to_passive,The bankers recognized the doctor.,The doctor was recognized by the bankers.
498,active_to_passive,The doctors believed the tourist.,The tourist was believed by the doctors.
717,active_to_passive,The athletes stopped the secretary.,The secretary was stopped by the athletes.
460,active_to_passive,The senators believed the professor.,The professor was believed by the senators.
667,active_to_passive,The artists recommended the athlete.,The athlete was recommended by the artists.
633,active_to_passive,The actors thanked the senators.,The senators were thanked by the actors.
506,active_to_passive,The actors recognized the scientists.,The scientists were recognized by the actors.
578,active_to_passive,The secretaries advised the lawyer.,The lawyer was advised by the secretaries.
537,active_to_passive,The tourists avoided the scientists.,The scientists were avoided by the tourists.
637,active_to_passive,The doctors believed the judges.,The judges were believed by the doctors.
96,active_to_passive,The bankers recommended the senators.,The senators were recommended by the bankers.
700,active_to_passive,The lawyers recommended the author.,The author was recommended by the lawyers.
765,active_to_passive,The actor helped the senators.,The senators were helped by the actor.
823,active_to_passive,The professors mentioned the tourist.,The tourist was mentioned by the professors.
385,active_to_passive,The senators mentioned the actor.,The actor was mentioned by the senators.
197,active_to_passive,The actors supported the professors.,The professors were supported by the actors.
610,active_to_passive,The secretaries recognized the tourist.,The tourist was recognized by the secretaries.
293,active_to_passive,The actors mentioned the artists.,The artists were mentioned by the actors.
461,active_to_passive,The scientist introduced the doctor.,The doctor was introduced by the scientist.
678,active_to_passive,The student believed the senators.,The senators were believed by the student.
553,active_to_passive,The actor thanked the authors.,The authors were thanked by the actor.
397,active_to_passive,The senators supported the artists.,The artists were supported by the senators.
840,active_to_passive,The tourist encouraged the presidents.,The presidents were encouraged by the tourist.
849,active_to_passive,The actor stopped the tourists.,The tourists were stopped by the actor.
456,active_to_passive,The bankers believed the presidents.,The presidents were believed by the bankers.
854,active_to_passive,The actors recommended the presidents.,The presidents were recommended by the actors.
35,active_to_passive,The lawyer recognized the senators.,The senators were recognized by the lawyer.
352,active_to_passive,The actors admired the tourists.,The tourists were admired by the actors.
614,active_to_passive,The secretaries helped the professors.,The professors were helped by the secretaries.
216,active_to_passive,The student contacted the professor.,The professor was contacted by the student.
382,active_to_passive,The bankers recommended the judges.,The judges were recommended by the bankers.
517,active_to_passive,The senators avoided the tourists.,The tourists were avoided by the senators.
408,active_to_passive,The banker encouraged the tourist.,The tourist was encouraged by the banker.
484,active_to_passive,The artists believed the professor.,The professor was believed by the artists.
511,active_to_passive,The secretaries advised the artist.,The artist was advised by the secretaries.
608,active_to_passive,The tourist helped the scientist.,The scientist was helped by the tourist.
407,active_to_passive,The professor thanked the artist.,The artist was thanked by the professor.
