task,input,output
active_to_passive,The banker recommended the tourists.,The tourists were recommended by the banker.
active_to_passive,The judge recognized the students.,The students were recognized by the judge.
active_to_passive,The managers believed the actor.,The actor was believed by the managers.
active_to_passive,The scientists mentioned the tourists.,The tourists were mentioned by the scientists.
active_to_passive,The senators avoided the lawyer.,The lawyer was avoided by the senators.
active_to_passive,The student supported the senators.,The senators were supported by the student.
active_to_passive,The lawyers stopped the student.,The student was stopped by the lawyers.
active_to_passive,The scientists contacted the tourists.,The tourists were contacted by the scientists.
active_to_passive,The doctor advised the managers.,The managers were advised by the doctor.
active_to_passive,The tourists avoided the lawyer.,The lawyer was avoided by the tourists.
active_to_passive,The manager recommended the author.,The author was recommended by the manager.
active_to_passive,The athletes advised the scientists.,The scientists were advised by the athletes.
active_to_passive,The actors mentioned the managers.,The managers were mentioned by the actors.
active_to_passive,The authors helped the doctor.,The doctor was helped by the authors.
active_to_passive,The scientists helped the bankers.,The bankers were helped by the scientists.
active_to_passive,The senator believed the judges.,The judges were believed by the senator.
active_to_passive,The manager recognized the president.,The president was recognized by the manager.
active_to_passive,The scientists helped the senator.,The senator was helped by the scientists.
active_to_passive,The athlete introduced the author.,The author was introduced by the athlete.
active_to_passive,The author encouraged the secretary.,The secretary was encouraged by the author.
active_to_passive,The professors mentioned the tourist.,The tourist was mentioned by the professors.
active_to_passive,The actor admired the secretaries.,The secretaries were admired by the actor.
active_to_passive,The senator supported the actors.,The actors were supported by the senator.
active_to_passive,The artists advised the secretaries.,The secretaries were advised by the artists.
active_to_passive,The judges supported the scientists.,The scientists were supported by the judges.
active_to_passive,The actor recognized the secretaries.,The secretaries were recognized by the actor.
active_to_passive,The judge believed the senators.,The senators were believed by the judge.
active_to_passive,The athlete recommended the president.,The president was recommended by the athlete.
active_to_passive,The lawyer avoided the president.,The president was avoided by the lawyer.
active_to_passive,The actor advised the managers.,The managers were advised by the actor.
active_to_passive,The doctors stopped the senator.,The senator was stopped by the doctors.
active_to_passive,The artist supported the senators.,The senators were supported by the artist.
active_to_passive,The lawyer avoided the professor.,The professor was avoided by the lawyer.
active_to_passive,The doctors thanked the lawyers.,The lawyers were thanked by the doctors.
active_to_passive,The presidents recommended the author.,The author was recommended by the presidents.
active_to_passive,The lawyers supported the secretary.,The secretary was supported by the lawyers.
active_to_passive,The artists recommended the tourists.,The tourists were recommended by the artists.
active_to_passive,The tourist encouraged the presidents.,The presidents were encouraged by the tourist.
active_to_passive,The secretary stopped the manager.,The manager was stopped by the secretary.
active_to_passive,The secretaries mentioned the presidents.,The presidents were mentioned by the secretaries.
active_to_passive,The scientists avoided the students.,The students were avoided by the scientists.
active_to_passive,The student advised the scientists.,The scientists were advised by the student.
active_to_passive,The lawyer encouraged the judges.,The judges were encouraged by the lawyer.
active_to_passive,The presidents advised the lawyer.,The lawyer was advised by the presidents.
active_to_passive,The authors advised the president.,The president was advised by the authors.
active_to_passive,The student encouraged the tourists.,The tourists were encouraged by the student.
active_to_passive,The actor stopped the tourists.,The tourists were stopped by the actor.
active_to_passive,The tourists recommended the athletes.,The athletes were recommended by the tourists.
active_to_passive,The professors helped the president.,The president was helped by the professors.
active_to_passive,The presidents mentioned the students.,The students were mentioned by the presidents.
active_to_passive,The student stopped the presidents.,The presidents were stopped by the student.
active_to_passive,The actors recommended the presidents.,The presidents were recommended by the actors.
active_to_passive,The lawyer recommended the athletes.,The athletes were recommended by the lawyer.
active_to_passive,The judges thanked the doctors.,The doctors were thanked by the judges.
active_to_passive,The managers recommended the student.,The student was recommended by the managers.
active_to_passive,The professors introduced the manager.,The manager was introduced by the professors.
active_to_passive,The actor admired the banker.,The banker was admired by the actor.
active_to_passive,The students helped the managers.,The managers were helped by the students.
active_to_passive,The manager advised the banker.,The banker was advised by the manager.
active_to_passive,The artists recognized the manager.,The manager was recognized by the artists.
active_to_passive,The professor recommended the judges.,The judges were recommended by the professor.
active_to_passive,The actors supported the tourist.,The tourist was supported by the actors.
active_to_passive,The athlete believed the judge.,The judge was believed by the athlete.
active_to_passive,The judges thanked the athlete.,The athlete was thanked by the judges.
active_to_passive,The author helped the scientist.,The scientist was helped by the author.
active_to_passive,The doctor supported the secretary.,The secretary was supported by the doctor.
active_to_passive,The author stopped the scientist.,The scientist was stopped by the author.
active_to_passive,The bankers advised the lawyer.,The lawyer was advised by the bankers.
active_to_passive,The actor encouraged the tourists.,The tourists were encouraged by the actor.
active_to_passive,The lawyers believed the student.,The student was believed by the lawyers.
active_to_passive,The secretary avoided the author.,The author was avoided by the secretary.
active_to_passive,The tourists advised the actor.,The actor was advised by the tourists.
active_to_passive,The actor thanked the president.,The president was thanked by the actor.
active_to_passive,The scientist helped the students.,The students were helped by the scientist.
active_to_passive,The bankers believed the athlete.,The athlete was believed by the bankers.
active_to_passive,The athletes admired the actor.,The actor was admired by the athletes.
active_to_passive,The doctors advised the senators.,The senators were advised by the doctors.
active_to_passive,The actor helped the judges.,The judges were helped by the actor.
active_to_passive,The scientists supported the presidents.,The presidents were supported by the scientists.
active_to_passive,The tourist contacted the authors.,The authors were contacted by the tourist.
active_to_passive,The lawyers believed the manager.,The manager was believed by the lawyers.
active_to_passive,The artists encouraged the judge.,The judge was encouraged by the artists.
active_to_passive,The judge helped the doctor.,The doctor was helped by the judge.
active_to_passive,The presidents thanked the bankers.,The bankers were thanked by the presidents.
active_to_passive,The judge supported the artists.,The artists were supported by the judge.
active_to_passive,The judges contacted the scientists.,The scientists were contacted by the judges.
active_to_passive,The lawyers recommended the tourist.,The tourist was recommended by the lawyers.
active_to_passive,The senators believed the presidents.,The presidents were believed by the senators.
active_to_passive,The athletes avoided the banker.,The banker was avoided by the athletes.
active_to_passive,The banker encouraged the author.,The author was encouraged by the banker.
active_to_passive,The bankers mentioned the doctors.,The doctors were mentioned by the bankers.
active_to_passive,The bankers supported the professor.,The professor was supported by the bankers.
active_to_passive,The judge advised the student.,The student was advised by the judge.
active_to_passive,The athletes mentioned the judges.,The judges were mentioned by the athletes.
active_to_passive,The student helped the tourists.,The tourists were helped by the student.
active_to_passive,The bankers believed the manager.,The manager was believed by the bankers.
active_to_passive,The scientist encouraged the judges.,The judges were encouraged by the scientist.
antonyms,sane,insane
antonyms,direct,indirect
antonyms,informally,formally
antonyms,unpopular,popular
antonyms,subtractive,additive
antonyms,nonresidential,residential
antonyms,linear,cubic
antonyms,inexact,exact
antonyms,uptown,downtown
antonyms,incomparable,comparable
antonyms,powerful,powerless
antonyms,gaseous,solid
antonyms,evenly,unevenly
antonyms,formality,informality
antonyms,postnatal,prenatal
antonyms,deliberately,accidentally
antonyms,off,on
antonyms,uninsured,insured
antonyms,credit,cash
antonyms,float,sink
antonyms,untalented,talented
antonyms,ground,figure
antonyms,immobility,mobility
antonyms,coherence,incoherence
antonyms,nationalism,internationalism
antonyms,developed,undeveloped
antonyms,inoffensive,offensive
antonyms,unattractive,attractive
antonyms,intense,mild
antonyms,disarrange,arrange
antonyms,inaction,action
antonyms,rewarding,unrewarding
antonyms,local,general
antonyms,net,gross
antonyms,interrogative,declarative
antonyms,kern,kern
antonyms,fill,empty
antonyms,confused,clearheaded
antonyms,inexperience,experience
antonyms,inconsideration,consideration
antonyms,unambiguous,ambiguous
antonyms,immortal,mortal
antonyms,available,unavailable
antonyms,restful,restless
antonyms,passing,running
antonyms,justice,injustice
antonyms,mortal,immortal
antonyms,baptized,unbaptized
antonyms,holy,unholy
antonyms,illegitimacy,legitimacy
antonyms,center,right
antonyms,unworldly,worldly
antonyms,insincere,sincere
antonyms,disbelieve,believe
antonyms,middle,end
antonyms,breathing,breathless
antonyms,shared,unshared
antonyms,minimally,maximally
antonyms,inefficient,efficient
antonyms,unaccompanied,accompanied
antonyms,inside,outside
antonyms,depreciation,appreciation
antonyms,manual,automatic
antonyms,disembark,embark
antonyms,crooked,straight
antonyms,distant,close
antonyms,association,disassociation
antonyms,sell,buy
antonyms,headed,headless
antonyms,propriety,impropriety
antonyms,lower,raise
antonyms,uncombined,combined
antonyms,passionate,passionless
antonyms,inelegant,elegant
antonyms,last,first
antonyms,hopeful,hopeless
antonyms,unfruitful,fruitful
antonyms,disorganized,organized
antonyms,atomistic,holistic
antonyms,determined,undetermined
antonyms,foe,friend
antonyms,concealing,revealing
antonyms,hopefully,hopelessly
antonyms,opaque,clear
antonyms,lowered,raised
antonyms,fine,coarse
antonyms,sadness,happiness
antonyms,unarmed,armed
antonyms,temperate,intemperate
antonyms,marked,unmarked
antonyms,pro,anti
antonyms,acute,chronic
antonyms,exhausted,unexhausted
antonyms,tender,tough
antonyms,immobile,mobile
antonyms,heterogeneity,homogeneity
antonyms,feed,starve
antonyms,unnatural,natural
antonyms,preventive,permissive
antonyms,intolerance,tolerance
antonyms,disloyal,loyal
antonyms,uninhibited,inhibited
antonyms,nonspecific,specific
antonyms,happiness,sadness
antonyms,autologous,homologous
antonyms,more,less
antonyms,reputable,disreputable
antonyms,aft,fore
antonyms,unbalance,balance
antonyms,synchronous,asynchronous
antonyms,necessitate,obviate
antonyms,experience,inexperience
antonyms,unblock,block
antonyms,varietal,generic
antonyms,monism,pluralism
antonyms,bull,bear
antonyms,second,first
antonyms,creditor,debtor
antonyms,present,past
antonyms,turned,unturned
antonyms,inflexible,flexible
antonyms,no,all
antonyms,increment,decrement
antonyms,unstained,stained
antonyms,careless,careful
antonyms,consciousness,unconsciousness
antonyms,applaud,boo
antonyms,outer,inner
antonyms,heedful,heedless
antonyms,fat,thin
antonyms,effectiveness,ineffectiveness
antonyms,patronize,boycott
antonyms,merciless,merciful
antonyms,dissociate,associate
antonyms,unemployment,employment
antonyms,enthusiastic,unenthusiastic
antonyms,predictable,unpredictable
antonyms,fire,hire
antonyms,explicitly,implicitly
antonyms,stingy,generous
antonyms,nonaligned,aligned
antonyms,rejuvenate,age
antonyms,luckily,unluckily
antonyms,melted,unmelted
antonyms,persistent,caducous
antonyms,incomprehension,comprehension
antonyms,like,unlike
antonyms,unavailability,availability
antonyms,superiority,inferiority
antonyms,relevance,irrelevance
antonyms,awkward,graceful
antonyms,extant,extinct
antonyms,distributive,collective
antonyms,cross,uncross
antonyms,insubordination,subordination
antonyms,run,idle
antonyms,significantly,insignificantly
antonyms,unmade,made
antonyms,competence,incompetence
antonyms,conventional,nuclear
antonyms,stretch,shrink
antonyms,meager,ample
antonyms,recessive,dominant
antonyms,notice,ignore
antonyms,bearing,nonbearing
antonyms,small,large
antonyms,suffix,prefix
antonyms,regularity,irregularity
antonyms,imprecisely,precisely
antonyms,thinness,thickness
antonyms,officially,unofficially
antonyms,fair,unfair
antonyms,forget,mind
antonyms,undetected,detected
antonyms,internationalism,nationalism
antonyms,unclean,clean
antonyms,unwelcome,welcome
antonyms,vowel,consonant
antonyms,weakening,strengthening
antonyms,loudly,softly
antonyms,intervention,nonintervention
antonyms,pleased,displeased
antonyms,unfrozen,frozen
antonyms,patiently,impatiently
antonyms,former,latter
antonyms,studio,location
antonyms,less,more
antonyms,unofficially,officially
antonyms,northern,southern
antonyms,agitate,calm
antonyms,covered,bare
antonyms,gravity,levity
antonyms,gradual,sudden
antonyms,loud,soft
antonyms,divide,multiply
antonyms,nadir,zenith
antonyms,reasonably,unreasonably
antonyms,disappear,appear
antonyms,figurative,literal
antonyms,obey,disobey
antonyms,utility,inutility
antonyms,uncut,cut
antonyms,closeness,openness
antonyms,revolutionary,counterrevolutionary
antonyms,unsteady,steady
antonyms,intransitive,transitive
antonyms,unconvinced,convinced
antonyms,inductive,deductive
antonyms,yin,yang
antonyms,arming,disarming
antonyms,reliable,unreliable
antonyms,merciful,merciless
antonyms,unclothed,clothed
antonyms,atypically,typically
antonyms,acquit,convict
antonyms,promote,demote
antonyms,unreliable,reliable
antonyms,dark,light
antonyms,enthrone,dethrone
antonyms,topless,topped
antonyms,accuracy,inaccuracy
antonyms,inaccessibility,accessibility
antonyms,lesser,greater
antonyms,amphoteric,alkaline
antonyms,nonexplosive,explosive
antonyms,lovable,hateful
antonyms,powerlessness,power
antonyms,neutral,positive
antonyms,sensory,extrasensory
antonyms,immoral,moral
antonyms,prospective,retrospective
antonyms,unmotivated,motivated
antonyms,paternal,maternal
antonyms,immutable,mutable
antonyms,nonhuman,human
antonyms,unconscious,conscious
antonyms,institutional,noninstitutional
antonyms,satisfaction,dissatisfaction
antonyms,congenial,uncongenial
antonyms,unashamed,ashamed
antonyms,advance,back
antonyms,order,disorder
antonyms,imperfect,perfect
antonyms,relax,tense
antonyms,divest,invest
antonyms,dove,hawk
antonyms,comprehensible,incomprehensible
antonyms,unloved,loved
antonyms,win,lose
antonyms,intolerably,tolerably
antonyms,impalpable,palpable
antonyms,flatter,disparage
antonyms,unpopularity,popularity
antonyms,politic,impolitic
antonyms,biennial,annual
antonyms,repute,disrepute
antonyms,joyless,joyous
antonyms,minimize,maximize
antonyms,isometric,isotonic
antonyms,intrastate,interstate
antonyms,freelance,salaried
antonyms,indoors,outdoors
antonyms,please,displease
antonyms,enlightened,unenlightened
antonyms,pack,unpack
antonyms,unstructured,structured
antonyms,incomprehensible,comprehensible
antonyms,counterfeit,genuine
antonyms,altered,unaltered
antonyms,courtesy,discourtesy
antonyms,downwards,upwards
antonyms,absence,presence
antonyms,unsupported,supported
antonyms,intelligent,unintelligent
antonyms,extraordinary,ordinary
antonyms,arrive,leave
antonyms,endogenous,exogenous
antonyms,hurried,unhurried
antonyms,untangled,tangled
antonyms,unethical,ethical
antonyms,cauline,radical
antonyms,unequivocal,equivocal
antonyms,generosity,stinginess
antonyms,leave,arrive
antonyms,consecrated,desecrated
antonyms,geometrically,linearly
antonyms,thoughtful,thoughtless
antonyms,uncharged,charged
antonyms,defined,undefined
antonyms,indispensable,dispensable
antonyms,divergent,convergent
antonyms,nonclassical,classical
antonyms,unsurprised,surprised
antonyms,undramatic,dramatic
antonyms,liked,disliked
antonyms,oblique,parallel
antonyms,responsible,irresponsible
antonyms,unprofessional,professional
antonyms,immeasurable,measurable
antonyms,equality,inequality
antonyms,descriptive,prescriptive
antonyms,nephew,niece
antonyms,unwrap,wrap
antonyms,capable,incapable
antonyms,unreserved,reserved
antonyms,tragedy,comedy
antonyms,niece,nephew
antonyms,coastal,inland
antonyms,indiscriminate,discriminate
antonyms,inhumane,humane
antonyms,finished,unfinished
antonyms,pleasantly,unpleasantly
antonyms,uncooperative,cooperative
antonyms,favorable,unfavorable
antonyms,joyful,sorrowful
antonyms,dry,sweet
antonyms,inflow,outflow
antonyms,heavily,lightly
antonyms,paved,unpaved
antonyms,colored,uncolored
antonyms,closed,open
antonyms,punitive,rehabilitative
antonyms,voluntarily,involuntarily
antonyms,territorial,extraterritorial
antonyms,parasite,host
antonyms,incomplete,complete
antonyms,qualify,disqualify
antonyms,unguided,guided
antonyms,irrevocable,revocable
antonyms,impractical,practical
antonyms,inconstancy,constancy
antonyms,potential,actual
antonyms,loser,winner
antonyms,bisexual,homosexual
antonyms,undefined,defined
antonyms,defense,offense
antonyms,nonpregnant,pregnant
antonyms,tire,refresh
antonyms,incompetent,competent
antonyms,comfortably,uncomfortably
antonyms,negligent,diligent
antonyms,lowborn,noble
antonyms,critically,uncritically
antonyms,opacity,transparency
antonyms,aqueous,igneous
antonyms,intrinsic,extrinsic
antonyms,acquaintance,stranger
antonyms,leading,following
antonyms,harmonious,inharmonious
antonyms,malnourished,nourished
antonyms,ambitious,unambitious
antonyms,uncritically,critically
antonyms,manage,fail
antonyms,unstuck,stuck
antonyms,untrained,trained
antonyms,retail,wholesale
antonyms,cathode,anode
antonyms,ordinal,cardinal
antonyms,invulnerable,vulnerable
antonyms,windward,leeward
antonyms,resolute,irresolute
antonyms,ascending,descending
antonyms,roughen,smooth
antonyms,indicate,contraindicate
antonyms,principled,unprincipled
antonyms,informed,uninformed
antonyms,cautiously,incautiously
antonyms,inconsistent,consistent
antonyms,domestic,foreign
antonyms,prosecute,defend
antonyms,strong,weak
antonyms,civil,sidereal
antonyms,eastern,western
antonyms,painless,painful
antonyms,passive,active
antonyms,down,up
antonyms,unappealing,appealing
antonyms,father,mother
antonyms,unbelief,belief
antonyms,continued,discontinued
antonyms,confined,invasive
antonyms,classical,nonclassical
antonyms,uncoil,coil
antonyms,cleared,uncleared
antonyms,son,daughter
antonyms,extended,unextended
antonyms,diligent,negligent
antonyms,enjoy,suffer
antonyms,extraterritorial,territorial
antonyms,delicate,rugged
antonyms,existence,nonexistence
antonyms,indistinct,distinct
antonyms,incautiously,cautiously
antonyms,untrustworthy,trustworthy
antonyms,patriotic,unpatriotic
antonyms,commercial,noncommercial
antonyms,freeze,boil
antonyms,commonality,individuality
antonyms,unfaithfulness,faithfulness
antonyms,blame,absolve
antonyms,war,peace
antonyms,distal,proximal
antonyms,atonic,tonic
antonyms,outpatient,inpatient
antonyms,looseness,tightness
antonyms,addressed,unaddressed
antonyms,unknowable,knowable
antonyms,exclude,include
antonyms,correctly,incorrectly
antonyms,significant,insignificant
antonyms,thoughtfully,thoughtlessly
antonyms,earned,unearned
antonyms,expensive,cheap
antonyms,impersonally,personally
antonyms,worthlessness,worth
antonyms,instability,stability
antonyms,inattentive,attentive
antonyms,empirically,theoretically
antonyms,inadequacy,adequacy
antonyms,masculinity,femininity
antonyms,unsure,sure
antonyms,sour,sweet
antonyms,worth,worthlessness
antonyms,beseeching,imperative
antonyms,matriarchal,patriarchal
antonyms,inefficacy,efficacy
antonyms,discontinued,continued
antonyms,lighten,darken
antonyms,contraindication,indication
antonyms,retrospective,prospective
antonyms,endemic,epidemic
antonyms,permanence,impermanence
antonyms,unwritten,written
antonyms,separate,joint
antonyms,rush,delay
antonyms,complaining,uncomplaining
antonyms,used,misused
antonyms,straighten,bend
antonyms,adequately,inadequately
antonyms,linger,rush
antonyms,inferior,superior
antonyms,consistently,inconsistently
antonyms,physical,mental
antonyms,mistrust,trust
antonyms,avascular,vascular
antonyms,rounded,angular
antonyms,unpaid,paid
antonyms,stimulate,stifle
antonyms,development,nondevelopment
antonyms,ascent,descent
antonyms,likely,unlikely
antonyms,undignified,dignified
antonyms,advantageous,disadvantageous
antonyms,ordinary,extraordinary
antonyms,multiform,uniform
antonyms,cephalic,caudal
antonyms,worthy,unworthy
antonyms,member,nonmember
antonyms,despair,hope
antonyms,extensive,intensive
antonyms,infallibility,fallibility
antonyms,adoptive,biological
antonyms,unassisted,assisted
antonyms,patience,impatience
antonyms,perennial,annual
antonyms,potent,impotent
antonyms,superior,inferior
antonyms,below,above
antonyms,unpaved,paved
antonyms,adorned,unadorned
antonyms,nonracial,racial
antonyms,cover,uncover
antonyms,uncontaminated,contaminated
antonyms,insensitivity,sensitivity
antonyms,wasteful,thrifty
antonyms,chromatic,diatonic
antonyms,complexity,simplicity
antonyms,heuristic,algorithmic
antonyms,abstain,consume
antonyms,purity,impurity
antonyms,approbation,disapprobation
antonyms,frivolity,seriousness
antonyms,controversial,uncontroversial
antonyms,unrefined,refined
antonyms,unregistered,registered
antonyms,probable,improbable
antonyms,discipline,indiscipline
antonyms,dissonance,harmony
antonyms,rehabilitative,punitive
antonyms,uncultivated,cultivated
antonyms,restrained,unrestrained
antonyms,extension,flexion
antonyms,concern,unconcern
antonyms,unaddressed,addressed
antonyms,disobedience,obedience
antonyms,unfixed,fixed
antonyms,inshore,offshore
antonyms,obligate,facultative
antonyms,wisdom,folly
antonyms,boy,girl
antonyms,unimportance,importance
antonyms,fastened,unfastened
antonyms,unloaded,loaded
antonyms,unaware,aware
antonyms,unjustly,justly
antonyms,toxic,nontoxic
antonyms,variable,invariable
antonyms,narrowing,widening
antonyms,industrial,nonindustrial
antonyms,resident,nonresident
antonyms,impossibility,possibility
antonyms,unimpressive,impressive
antonyms,inexpedient,expedient
antonyms,there,here
antonyms,nonsurgical,surgical
antonyms,equipped,unequipped
antonyms,begrudge,wish
antonyms,waxing,waning
antonyms,adequacy,inadequacy
antonyms,labeled,unlabeled
antonyms,effector,receptor
antonyms,undemocratic,democratic
antonyms,toothless,toothed
antonyms,wrapped,unwrapped
antonyms,unaltered,altered
antonyms,undrained,drained
antonyms,discriminate,indiscriminate
antonyms,diminution,augmentation
antonyms,underived,derived
antonyms,unchain,chain
antonyms,saturated,unsaturated
antonyms,immaterial,material
antonyms,subordinating,coordinating
antonyms,profitable,unprofitable
antonyms,insolvent,solvent
antonyms,grateful,ungrateful
antonyms,visibility,invisibility
antonyms,treated,untreated
antonyms,nonmagnetic,magnetic
antonyms,sonic,supersonic
antonyms,untidy,tidy
antonyms,incapable,capable
antonyms,brunet,blond
antonyms,weighty,weightless
antonyms,unconsciously,consciously
antonyms,publicized,suppressed
antonyms,imprudent,prudent
antonyms,uneven,even
antonyms,waning,waxing
antonyms,useful,useless
antonyms,polar,equatorial
antonyms,found,lost
antonyms,authorized,unauthorized
antonyms,externally,internally
antonyms,incontinent,continent
antonyms,belief,unbelief
antonyms,compromising,uncompromising
antonyms,expected,unexpected
antonyms,unsold,sold
antonyms,stale,fresh
antonyms,tangled,untangled
antonyms,insulator,conductor
antonyms,move,stay
antonyms,undesirable,desirable
antonyms,systematic,unsystematic
antonyms,accustomed,unaccustomed
antonyms,undefeated,defeated
antonyms,nonrandom,random
antonyms,clarity,obscurity
antonyms,uncharitable,charitable
antonyms,unfilled,filled
antonyms,atheism,theism
antonyms,synthesis,analysis
antonyms,kind,unkind
antonyms,unresponsive,responsive
antonyms,defeat,victory
antonyms,untied,tied
antonyms,material,immaterial
antonyms,lowland,highland
antonyms,invariable,variable
antonyms,incorporeal,corporeal
antonyms,generative,consumptive
antonyms,deceleration,acceleration
antonyms,inconveniently,conveniently
antonyms,equal,differ
antonyms,encouraging,discouraging
antonyms,interested,uninterested
antonyms,maximum,minimum
antonyms,inhale,exhale
antonyms,misconstruction,construction
antonyms,fold,unfold
antonyms,selfishness,unselfishness
antonyms,sweeten,sour
antonyms,harmony,dissonance
antonyms,nonmetallic,metallic
antonyms,symmetrical,asymmetrical
antonyms,unsystematic,systematic
antonyms,anaerobic,aerobic
antonyms,financial,nonfinancial
antonyms,annual,perennial
antonyms,noticed,unnoticed
antonyms,analysis,synthesis
antonyms,exogenous,endogenous
antonyms,enable,disable
antonyms,easterly,westerly
antonyms,infinite,finite
antonyms,functioning,malfunctioning
antonyms,incorrectly,correctly
antonyms,structured,unstructured
antonyms,trained,untrained
antonyms,blessed,cursed
antonyms,upstairs,downstairs
antonyms,humorous,humorless
antonyms,typical,atypical
antonyms,irritate,soothe
antonyms,resolution,preparation
antonyms,chain,unchain
antonyms,impatient,patient
antonyms,laity,clergy
antonyms,worry,reassure
antonyms,faceless,faced
antonyms,documented,undocumented
antonyms,cholinergic,anticholinergic
antonyms,christian,unchristian
antonyms,unipolar,bipolar
antonyms,hardness,softness
antonyms,ill,well
antonyms,unexploited,exploited
antonyms,disenchanted,enchanted
antonyms,unfashionable,fashionable
antonyms,fatal,nonfatal
antonyms,nonviolent,violent
antonyms,aground,afloat
antonyms,establish,abolish
antonyms,imprecise,precise
antonyms,upload,download
antonyms,stative,active
antonyms,unabridged,abridged
antonyms,unbound,bound
antonyms,diluted,undiluted
antonyms,concentrated,distributed
antonyms,bright,dull
antonyms,improbable,probable
antonyms,alignment,nonalignment
antonyms,unkindly,kindly
antonyms,concave,convex
antonyms,unimproved,improved
antonyms,unbutton,button
antonyms,pessimistic,optimistic
antonyms,thermal,nonthermal
antonyms,classified,unclassified
antonyms,impossibly,possibly
antonyms,articulate,inarticulate
antonyms,hairy,hairless
antonyms,uncollected,collected
antonyms,show,hide
antonyms,being,nonbeing
antonyms,lax,tense
antonyms,exterior,interior
antonyms,acquittal,conviction
antonyms,loyalty,disloyalty
antonyms,random,nonrandom
antonyms,asexual,sexual
antonyms,unoriginal,original
antonyms,coated,uncoated
antonyms,inelastic,elastic
antonyms,death,birth
antonyms,precision,imprecision
antonyms,signed,unsigned
antonyms,uninviting,inviting
antonyms,badness,goodness
antonyms,qualitative,quantitative
antonyms,unkindness,kindness
antonyms,connected,unconnected
antonyms,occupied,unoccupied
antonyms,possibly,impossibly
antonyms,disagreement,agreement
antonyms,unconstitutional,constitutional
antonyms,nice,nasty
antonyms,joyous,joyless
antonyms,satisfactory,unsatisfactory
antonyms,amateur,professional
antonyms,heterologous,analogous
antonyms,software,hardware
antonyms,disconnect,connect
antonyms,unpublished,published
antonyms,tapped,untapped
antonyms,implicit,explicit
antonyms,uncrossed,crossed
antonyms,unnoticed,noticed
antonyms,weightless,weighty
antonyms,exempt,enforce
antonyms,acceptance,rejection
antonyms,conformity,nonconformity
antonyms,download,upload
antonyms,uncleared,cleared
antonyms,immediate,mediate
antonyms,protected,unprotected
antonyms,ethical,unethical
antonyms,impressive,unimpressive
antonyms,cursed,blessed
antonyms,nascent,dying
antonyms,modern,nonmodern
antonyms,sufficient,insufficient
antonyms,unwary,wary
antonyms,nonbeing,being
antonyms,reassure,worry
antonyms,accentual,quantitative
antonyms,precise,imprecise
antonyms,stranger,acquaintance
antonyms,necessarily,unnecessarily
antonyms,here,there
antonyms,intended,unintended
antonyms,sunrise,sunset
antonyms,prudence,imprudence
antonyms,confident,diffident
antonyms,succeed,fail
antonyms,bind,unbind
antonyms,secure,insecure
antonyms,efficiently,inefficiently
antonyms,helpful,unhelpful
antonyms,sterile,fertile
antonyms,fast,slow
antonyms,coil,uncoil
antonyms,destabilization,stabilization
antonyms,irrational,rational
antonyms,ungrammatical,grammatical
antonyms,unstudied,studied
antonyms,hardware,software
antonyms,converge,diverge
antonyms,comfort,discomfort
antonyms,meaningless,meaningful
antonyms,discontinuity,continuity
antonyms,injured,uninjured
antonyms,afferent,efferent
antonyms,regress,progress
antonyms,religious,secular
antonyms,neuter,feminine
antonyms,aunt,uncle
antonyms,dullness,brightness
antonyms,disadvantageous,advantageous
antonyms,sacred,profane
antonyms,ambiguously,unambiguously
antonyms,figuratively,literally
antonyms,impolitic,politic
antonyms,lowness,highness
antonyms,mindful,unmindful
antonyms,patriarchal,matriarchal
antonyms,undemanding,demanding
antonyms,unadjusted,adjusted
antonyms,defeated,undefeated
antonyms,yea,nay
antonyms,productive,unproductive
antonyms,afraid,unafraid
antonyms,nonmodern,modern
antonyms,lively,dull
antonyms,home,away
antonyms,rugged,delicate
antonyms,published,unpublished
antonyms,insufficient,sufficient
antonyms,involuntary,voluntary
antonyms,disagree,agree
antonyms,uncertainty,certainty
antonyms,unreality,reality
antonyms,uncommitted,committed
antonyms,content,discontent
antonyms,unfold,fold
antonyms,interstate,intrastate
antonyms,yield,stand
antonyms,vertebrate,invertebrate
antonyms,unselfishness,selfishness
antonyms,malfunctioning,functioning
antonyms,egoism,altruism
antonyms,liking,dislike
antonyms,unilateral,multilateral
antonyms,dejected,elated
antonyms,profound,superficial
antonyms,incidental,basic
antonyms,even,odd
antonyms,optimistic,pessimistic
antonyms,contracted,expanded
antonyms,joint,separate
antonyms,offence,defence
antonyms,asymmetry,symmetry
antonyms,crosswise,lengthwise
antonyms,peripheral,central
antonyms,admit,deny
antonyms,unlikely,likely
antonyms,defendant,plaintiff
antonyms,colorless,colorful
antonyms,palpable,impalpable
antonyms,effectively,ineffectively
antonyms,nonindustrial,industrial
antonyms,unseal,seal
antonyms,dishonesty,honesty
antonyms,competitive,noncompetitive
antonyms,hate,love
antonyms,uniformity,nonuniformity
antonyms,improbability,probability
antonyms,inattention,attention
antonyms,unhelpful,helpful
antonyms,decrease,increase
antonyms,caudal,cephalic
antonyms,ugly,beautiful
antonyms,attentive,inattentive
antonyms,diffidence,confidence
antonyms,mitigated,unmitigated
antonyms,imperfection,perfection
antonyms,unauthorized,authorized
antonyms,unsuitably,suitably
antonyms,uncritical,critical
antonyms,unhurried,hurried
antonyms,love,hate
antonyms,dormant,active
antonyms,discontinuance,continuance
antonyms,preserved,fresh
antonyms,nonalcoholic,alcoholic
